sr,dms_code,exam_centre_name,venue_address,pincode,region,state,city,venue_status,blacklist_info,ffa_frequency,deo_remarks_summary,suspicious_summary,call_log_summary,market_remark,final_analysis,reason
2002,NR2-DL-4488,BAL VIDYA MODEL SCHOOL,"B-247 ,LAXMI PARK ,MAIN NANGLOI NAJAFGARH ROAD",110041.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2003,NR2-DL-4492,AZTECH DIGITAL SOLUTIONS PVT LTD,"PLOT NO- 5, SULAHKUL VIHAR, OLD PALAM ROAD SECTOR-14 DWARKA",110078.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2004,NR2-DL-4494,BHARTI VIDYA NIKETAN PUBLIC SCHOOL,"A-26, RANJIT VIHAR NILOTHI EXTENSION",110041.0,NORTH TWO,DELHI,NEW DELHI,BLACK LISTED,Customer Specific Blacklisted by CROWN,0,,,"PC Changed(2), Power Related(1)",,Customer Specific Blacklisted,Customer Specific Blacklisted by CROWN
2005,NR2-DL-4495,KARAKORAM ASSESSMENT CENTER,"FACTORY 1A, HETRAM MOHALLA, 100 FEET RD, GHITORNI,",110030.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,Candidate Found With Mobile(1),,"PC Changed(6), Power Related(3)",Doubtful (Reviews < 10),Sensitive Venue,Candidate Found With Mobile(1)
2006,NR2-DL-4496,GALLATIN ASSESSMENT CENTER,"M2JP+RH5, SAINI VIHAR, SWARAN PARK, MUNDKA,",110041.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2007,NR2-DL-4497,ARWACHIN BHARTI BHAWAN SENIOR SECONDARY SCHOOL,"UNNATI MARG, BLOCK C, VIVEK VIHAR PHASE I, VIVEK VIHAR,",110095.0,NORTH TWO,DELHI,NEW DELHI,INACTIVE,,0,,,"D Mapping(1), PC Changed(11), Power Related(3)",,Average,"D Mapping(1), PC Changed(11), Power Related(3)"
2008,NR2-DL-4498,ENERVETIC ASSESSMENT CENTER,"KHARSA NO. 401-402, BUILDING NO. 2, GHITORNI,",110070.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,,Good,Good
2009,NR2-DL-4500,SARANSH ONLINE CENTER,"KALI NAGAR, BLOCK C, MAHAVIR ENCLAVE PART 1, MAHAVIR ENCLAVE,",110045.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,,Good,Good
2010,NR2-DL-4501,GENIUS INFOTECH SOLUTION,"PLOT NO.-02, RAJIV NAGAR, BEGAMPUR, SECTOR 22, ROHINI,",110086.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(20), Power Related(6)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
2011,NR2-DL-4503,RM 22 FACILITY SOLUTIONS,"365, SULTANPUR MANDI RD, SULTANPUR,",110030.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,,Good,Good
2012,NR2-DL-4504,MR BHARTI ASSESSMENTS,"52/15 FRIENDS COLONY, MUNDKA,",110041.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,3,,,"D Mapping(1), PC Changed(4), Power Related(4), SPS Node(2)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2013,NR2-DL-4506,HAR GOVIND SECONDARY PUBLIC SCHOOL,"B-1/99, JAIL RD, PRISON COMPLEX, BLOCK B, HARSH VIHAR, BHOPURA,",110093.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,,Good,Good
2014,NR2-DL-4507,JN INTERNATIONAL SCHOOL,"JAGADAMBA COLONY, AALI VIHAR, SARITA VIHAR, ALI,",110076.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,,Good,Good
2015,NR2-DL-4508,SL ONLINE TESTING CENTRE,"B-9, 2ND, 3RD & 4TH FLOOR GHAZIPUR,",110096.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,,Good,Good
2016,NR2-DL-4509,PARAMOUNT INTERNATIONAL SCHOOL,"SECTOR 23, DWARKA,",110077.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
2017,NR2-DL-4510,"SHIKSHA BHARATI COLLEGE, DWARKA","BLOCK D, SECTOR 7 DWARKA, DWARKA",110075.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,2,,Suspicious Activity Observed At Venue(1),"D Mapping(1), PC Changed(11), Power Related(2)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2018,NR2-DL-4512,M A GLOBAL ONLINE EXAM CENTER,OPP. LAKHI RAM PARK . SEC-22 ROHINI,110086.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
2019,NR2-DL-4514,MOUNT ABU PUBLIC SCHOOL,,110085.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,"PC Changed(1), Power Related(2)",,Average,"PC Changed(1), Power Related(2)"
2020,NR2-DL-4516,AIS ASSESSMENT ZONE,"AIS ASSESSMENT ZONE, NANGLOI RD, NEAR AAKASH INTERNATIONAL SR. SEC.SCHOOL",110043.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2021,NR2-DL-4517,JMD GLOBAL EXAM CENTER,"KHASRA NO. 73/15/1, OPP. METRO PILLER 464,RAJADHANI METRO STATION, MUNDKA",110041.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,Power Related(3),Doubtful (Reviews < 10),Average,Power Related(3)
2022,NR2-DL-4518,NEW SAINIK EXAM CENTRE,"QUTUB VIHAR, GOYLA DAIRY, NEAR DWARKA SEC 19",110071.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,PC Changed(1),,Average,PC Changed(1)
2023,NR2-DL-4519,NEW OXFORD PUBLIC SCHOOL,"B-122, MAIN ROAD, NEAR RAM MANDIR VIVEK VIHAR",110095.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,2,,,"PC Changed(12), Power Related(9)",,Sensitive Venue,Found in FFA
2024,NR2-DL-4521,FOSTIIMA BUSINESS SCHOOL,"ERA BUSINESS SCHOOL, HAF-1, PHASE-1, DD POCKET-2, SECTOR-9 DWARKA,",110077.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
2025,NR2-DL-4523,CASPIAN TECH ZONE,"PLOT NO.104A,RANAJI ENCLAVE, MAIN NAJAFGARH RD, NEAR NANGLI METRO, NANGLI SAKRAWATI,",110043.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2026,NR2-DL-4524,HOLY INTERNATIONAL EXAM CENTRE,"HOLY INERNATIONAL SEN.SEC.SCHOOL , OM VIHAR PHASE 5 UTTAM NAGAR",110059.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,1,,,"D Mapping(2), IT Asset - Damaged/Misplaced/Missing(2), PC Changed(26), Power Related(5), SPS Node(1)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2027,NR2-DL-4525,GLORIOUS PUBLIC SCHOOL,"VIDYA MARG, RAJAPUR, POCKET 33, SECTOR 9, ROHINI",110085.0,NORTH TWO,DELHI,NEW DELHI,ACTIVE,,0,,,PC Changed(5),,Average,PC Changed(5)
2028,NR2-DL-4619,AMBE ONLINE SOLUTION,"B-11 SURAJ PARK ,NEAR SAMAYPUR BADLI METRO STATION, DELHI 110042",110042.0,NORTH TWO,DELHI,NORTH,ACTIVE,,0,,,,,Good,Good
2029,NR2-DL-4652,GR INTERNATIONAL SCHOOL,"GR INTERNATIONAL SCHOOL, POOTH KHURD, MAIN BAWANA ROAD, SECTOR 32 NEW DELHI, DELHI-110039",110039.0,NORTH TWO,DELHI,NORTH,ACTIVE,,0,,,"PC Changed(7), Power Related(1)",,Average,"PC Changed(7), Power Related(1)"
2030,NR2-DL-1643,CH. BALDEV SINGH MODEL SCHOOL EXAM CENTER,"CH. BALDEV SINGH MODEL SCHOOL, MAIN MUBARAKPUR RD, NARAINAVIHAR, BALDEV PARK, KIRARI SULEMAN NAGAR, NEW DELHI, DELHI, 110086",110086.0,NORTH TWO,DELHI,NORTH WEST,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2031,NR2-DL-4686,P D MODEL SR. SEC. SCHOOL,"6/88,PASCHIMI, NANGLOI SULTANPURI RD, FRIENDS ENCLAVE, NEW DELHI, DELHI 110086",110086.0,NORTH TWO,DELHI,NORTH WEST,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2032,NR2-DL-4766,APPLE VALLEY HIGH,"APPLE VALLEY HIGH EXAM CENTRE, MAIN MUBARAKPUR ROAD, NARAYAN VIHAR, BABA HARIDAS VATIKA, VIJAY DHARAM KANTA, NEW DELHI - 110086",110086.0,NORTH TWO,DELHI,NORTH WEST,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2033,NR2-DL-4773,IPCAS (INDRAPRASTHA COLLEGE OF ADVANCED STUDIES),A-3 VIJAY VIHAR PHASE-1 NEAR SECTOR-5 ROHINI OPPOSITE RANAPRATAP GOVERNMENT SCHOOLDELHI-110085,110085.0,NORTH TWO,DELHI,ROHINI-DELHI,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2034,NR2-DL-1726,VINAYAK DIGITAL ZONE,"A 51, GAZIPUR RD, NEAR BHARAT PETROLEUM PUMP, GHAZIPUR VILLAGE, GHAZIPUR, DELHI, 110096",110095.0,NORTH TWO,DELHI,SHAHDARA,ACTIVE,,2,,Suspicious Activity Observed At Venue(1),"D Mapping(7), PC Changed(18), QB Pull Issue(1), White Screen Related(3)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2035,NR2-DL-4761,NEXGEN DIGITAL SOLUTIONS,"COMMUNITY CENTRE, E BLOCK, NEAR GAGAN CINEMA, NAND NAGRI, DELHI -110093",110092.0,NORTH TWO,DELHI,SHAHDARA,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
2036,NR2-DL-1763,MAHADEV ONLINE EXAM SOLUTION,"1ST FLOORUPPER GROUND FLOOR, KHASRA NO. 1015, NEAR TOYOTA OIL WARE HOUSE, BEHIND GOVT. SENIOR SECONDARY SCHOOL, MUNDKA, NORTH WEST DELHI, DELHI, 110041",110049.0,NORTH TWO,DELHI,SOUTH,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(5), Power Related(5)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
2037,NR2-DL-4755,HRL DIGITAL SOLUTION,"CORPORATE OFFICE, B-2/17, MOHAN COOPERATIVE INDUSTRIAL ESTATE, BADARPUR, BORDER, DELHI 110044, INDIA",110044.0,NORTH TWO,DELHI,SOUTH,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
2038,NR2-DL-4757,SUNRISE CONVENT SCHOOL,"D BLOCK, BHARAT VIHAR, KAKROLA, SEC 15, DWARKA SEC 14 METRO STATION, DWARKA, NEW DELHI - 110078",110076.0,NORTH TWO,DELHI,SOUTH,ACTIVE,,0,,,,,Good,Good
2039,NR2-DL-1767,DS IT SOLUTION EXAM CENTRE,"BLOCK B, BLOCK E, MOHAN COOPERATIVE INDUSTRIAL ESTATE, BADARPUR, NEW DELHI, DELHI 110044",110044.0,NORTH TWO,DELHI,SOUTH EAST,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2040,NR2-DL-4711,BRIGHT WAY PUBLIC SCHOOL,"2ND 60 FEET RD, MOHAN BABA NAGAR, MOLAR BAND EXTENSION, BADARPUR, NEW DELHI, DELHI - 110044",110044.0,NORTH TWO,DELHI,SOUTH EAST,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",Average (Rating <4 & Reviews >=10),Average,"PC Changed(2), Power Related(1)"
2041,NR2-DL-1644,SOFT TECH SOLUTION,SUSHIL INTERNATIONAL SCHOOLSHRI HANS NAGAR DELHI-110073,110073.0,NORTH TWO,DELHI,SOUTH WEST,ACTIVE,,0,,,Power Related(1),Doubtful (Reviews < 10),Average,Power Related(1)
2042,NR2-DL-1766,PT. RAMCHANDRA VIDYA NIKETAN SCHOOL,"BHARTAL,DWARKA SEC-26, NEAR COMMUNITY CENTRE, HOLI CHOWK, DELHI- 110077",110077.0,NORTH TWO,DELHI,SOUTH WEST,ACTIVE,,0,,,,,Good,Good
2043,NR2-DL-4702,DELHI ENGLISH ACADEMY ONLINE EXAM CENTER,"DHOOLSIRAS RD, SECTOR 25 DWARKA, DWARKA, NEW DELHI, DELHI, 110077",110077.0,NORTH TWO,DELHI,SOUTH WEST,ACTIVE,,1,,,"D Mapping(3), PC Changed(3), Power Related(2)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2044,NR2-DL-4752,C.R. OASIS CONVENT SR. SEC. SCHOOL,"PAPRAWAT, NAJAFGARH, DELHI, 110043, INDIA",110043.0,NORTH TWO,DELHI,SOUTH WEST,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2045,NR2-DL-4756,KD IT WEB SOLUTION,"LANDMARK, 230, BHARTHAL RD, NEAR DEEPU CHOCK, BHARTHAL, SECTOR 26 DWARKA, BHARTHAL, DELHI, 110077, INDIA",110077.0,NORTH TWO,DELHI,SOUTH WEST,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2046,NR2-DL-1649,BALYIDYA ONLINE EXAM CENTER,"B-247, LAXMI PARK ROAD, NEAR NARYAN DHARM KANTA, ADHYAKSH NAGER, NEW DELHI -110041",110041.0,NORTH TWO,DELHI,WEST,ACTIVE,,0,,,PC Changed(1),Average (Rating <4 & Reviews >=10),Average,PC Changed(1)
2047,NR2-DL-1764,RIS ONLINE EXAM CENTRE,"397, KOTLA VIHAR, PHASE 02, TILANGPUR KOTLA, DELHI Â€“ 110041",110041.0,NORTH TWO,DELHI,WEST,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(4), Power Related(2)",,Sensitive Venue,Suspicious Activity Observed At Venue(1)
2048,NR2-DL-4615,JAGDAMBE ONLINE SOLUTION 022,"KH.NO. 72/16 & 25, RAJDHANI PARK METRO STATION, PILLAR NO.478,SWARAN PARK, MUNDKA, DELHI-110041",110041.0,NORTH TWO,DELHI,WEST,BLACK LISTED,Customer Specific Blacklisted by CROWN,0,,,"PC Changed(2), Power Related(3)",Doubtful (Reviews < 10),Customer Specific Blacklisted,Customer Specific Blacklisted by CROWN
2049,NR2-DL-4616,SUNSHINE CONVENT SCHOOL ONLINE EXAM CENTER,"PLOT NO-4, VIKAS NAGAR, NEAR PRADHAN CHOWK, UTTAM NAGAR, NEW DELHI-110059",110059.0,NORTH TWO,DELHI,WEST,ACTIVE,,0,,,"PC Changed(3), Power Related(9)",Doubtful (Reviews < 10),Average,"PC Changed(3), Power Related(9)"
2050,NR2-DL-4653,PINONEER ASSESSMENT CENTRE,"PIONEER CONVENT SR. SEC SCHOOL, LOKNAYAK PURAM, BAKKARWALA, NANGLOI, NEW DELHI-110041",110041.0,NORTH TWO,DELHI,WEST,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(5), Power Related(7)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
2051,NR2-DL-4706,WEB INFOTRON TECHNOLOGIES PRIVATE LIMTEDED,KHASRA NO.265 VILLAGE SAWDA PIN CODE:110042,110041.0,NORTH TWO,DELHI,WEST,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(4), Power Related(1)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
2052,NR2-DL-4759,JAMES CONVENT SCHOOL,"F-34/2&3, SATSANG RD, NIHAL VIHAR, NANGLOI, NEW DELHI- 110041",110041.0,NORTH TWO,DELHI,WEST,ACTIVE,,0,,,,,Good,Good
2053,NR2-HR-4282,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE AMBALA,"SECTOR 7, MODEL TOWN ROAD",134003.0,NORTH TWO,HARYANA,AMBALA,ACTIVE,,0,,,"PC Changed(9), Power Related(18)",,Average,"PC Changed(9), Power Related(18)"
2054,NR2-HR-4495,A-ONE ONLINE EXAM SOLUTIONS,"1ST FLOOR, BEHIND SUZUKI SHOWROOM, AMBALA CHANDIGARH ROAD, BALDEV NAGAR",134007.0,NORTH TWO,HARYANA,AMBALA,ACTIVE,,2,,,"IT Asset - Damaged/Misplaced/Missing(1), PC Changed(2), Power Related(10), SPS Node(1), Venue Closed/Other Exam Running(1)",,Sensitive Venue,Found in FFA
2055,NR2-HR-4496,JSM PARIKSHA WEB-TECH SOLUTION,"MAIN G.T ROAD, DELHI CHANDIGARH HIGHWAY",134007.0,NORTH TWO,HARYANA,AMBALA,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2056,NR2-HR-4603,GALAXY GLOBAL GROUP OF INSTITUTIONS,"SHAHABAD-SAHA-PANCHKULA HIGHWAY NH-73, DINARPUR, HARYANA 133102",133102.0,NORTH TWO,HARYANA,AMBALA,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2057,NR2-HR-4620,LORD KRISHNA COLLEGE OF EDUCATION,VPO ADHOYA TEHSIL BARARA DISTRICT AMBALA PIN CODE 133205,133205.0,NORTH TWO,HARYANA,AMBALA,ACTIVE,,4,,,"D Mapping(2), PC Changed(8), Power Related(6), QB Pull Issue(1)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2058,NR2-HR-4751,ÐŒÐÐÐÐ¢MA GANDHI GROUP OF TECHNOLOGY,"SEC-C, KALARHERI ROAD, NEAR GURUDWARA SINGH SABHA, DEFENCE COLONY, AMBALA CANTT, HARYANA 133010",133010.0,NORTH TWO,HARYANA,AMBALA,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),D Mapping(2),,Sensitive Venue,Suspicious Activity Observed At Venue(1)
2059,NR2-HR-4283,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE BAHADURGARH,"GOVT ITI BAHDURGARH, JHAJJAR ROAD, DISTT JHAJJAR",124507.0,NORTH TWO,HARYANA,BAHADURGARH,ACTIVE,,0,,,PC Changed(5),,Average,PC Changed(5)
2060,NR2-HR-4284,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE BHIWANI,"GOVT. ITI BHIWANI, HANSI ROAD,",127021.0,NORTH TWO,HARYANA,BHIWANI,ACTIVE,,0,,,"PC Changed(1), Power Related(17)",,Average,"PC Changed(1), Power Related(17)"
2061,NR2-HR-4476,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE BEHAL,GOVT. INDUSTRIAL TRAINING INSTITUTE BEHAL,127028.0,NORTH TWO,HARYANA,BHIWANI,ACTIVE,,0,,,,,Good,Good
2062,NR2-HR-4602,BLUE MOUNT TYPING CENTER,"OLD HOUSING BOARD , H. NO.- 212, NEAR SHEHNAI HOTEL, BHIWANI - 127021",127021.0,NORTH TWO,HARYANA,BHIWANI,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2063,NR2-HR-4285,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE CHARKHI DADRI (RAWALDHI),GOVT ITI RAWALDHI (CHARKHI DADRI),127306.0,NORTH TWO,HARYANA,CHARKHI DADRI,ACTIVE,,0,,,"PC Changed(2), Power Related(5)",,Average,"PC Changed(2), Power Related(5)"
2064,NR2-HR-4286,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE CHAUTALA,TEJA KHERA ROAD,125101.0,NORTH TWO,HARYANA,CHAUTALA,ACTIVE,,0,,,PC Changed(1),,Average,PC Changed(1)
2065,NR2-HR-4093,ABCD E- EXAMINATIONS,"AJRONDA CHOWK,NEAR FOCUS LAB,SEC-20 B, MATHURA ROAD,",121001.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2066,NR2-HR-4094,APEX ONLINE SOLUTION,"LAL KOTHI, CHAUHAN COMPLEX, SOHNA ROAD, SANJAY COLONY, SECTOR 23,",121005.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(5), Power Related(17), QB Pull Issue(1)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
2067,NR2-HR-4489,V.M. SENIOR SECONDARY SCHOOL,"JAWAHAR COLONY,",121005.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2068,NR2-HR-4506,ECHELON INSTITUTE OF TECHNOLOGY,"KABULPUR, MANJHAWALI ROAD, NEHARPAR",121101.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,"PC Changed(1), Power Related(2)",Average (Rating <4 & Reviews >=10),Average,"PC Changed(1), Power Related(2)"
2069,NR2-HR-4668,GOVERNMENT ITI FARIDABAD-W,"GITI FARIDABAD (W) SEC 18, OLD FBDFARIDABAD, HARYANA 121002",121002.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,"PC Changed(1), Power Related(1)",,Average,"PC Changed(1), Power Related(1)"
2070,NR2-HR-4683,ANGELS PUBLIC SCHOOL,"458, SECTOR 21A, FARIDABAD, HARYANA 121001 ,NEARST METRO STATION: BADKHAL METRO STATION",121001.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,"PC Changed(4), Power Related(2)",,Average,"PC Changed(4), Power Related(2)"
2071,NR2-HR-4696,MANAV RACHNA EDUCATIONAL INSTITUTIONS OF RESEARCH AND STUDIES,"GATE NO.-4, DELHI SURAJKUND ROAD SEC 43",121004.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,PC Changed(2),Good (Rating >=4 & Reviews >=10),Average,PC Changed(2)
2072,NR2-HR-4760,ECHELON INSTITUTE OF TECHNOLOGY,"ECHELON INSTITUTE OF TECHNOLOGY, KABULPUR, MANJHAWALI ROAD, NEHARPAR, FARIDABAD, HARYANA - 121101",121101.0,NORTH TWO,DELHI NCR,FARIDABAD,ACTIVE,,0,,,"Power Related(1), SPS Node(1)",Good (Rating >=4 & Reviews >=10),Average,"Power Related(1), SPS Node(1)"
2073,NR2-HR-1642,EZZY WEB SOLUTIONS,"DSP ROAD , JK TILES BUILDING,TOP FLOOR, FATEHABAD",125050.0,NORTH TWO,HARYANA,FATEHABAD,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2074,NR2-HR-4288,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE BHODIA KHERA,"GOVT. INDUSTRIAL TRAINING INSTITUTE BHODIA KHERA, BHATTU ROAD",125050.0,NORTH TWO,HARYANA,FATEHABAD,ACTIVE,,0,,,Power Related(3),,Average,Power Related(3)
2075,NR2-HR-4600,HKCL GYANDEEP COMPUTER CENTRE FATEHABAD,"THAKUR BASTI, NEAR KUMAR KITTAB GHAR , FATEHABAD, HARYANA 125053",125053.0,NORTH TWO,HARYANA,FATEHABAD,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2076,NR2-HR-1650,THE TESTHIVE HUB,"PLOT NO 702, NEAR GURUDWARA, CH. BAKTAWAR SINGH ROAD, SEC 39 GURUGRAM(HR.)122002",122002.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,2,,,"D Mapping(1), PC Changed(2)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2077,NR2-HR-4098,DPG DEGREE COLLEGE,"DPG DEGREE COLLEGE , SECTOR 34, HERO HONDA CHOWK",122001.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,7,Candidate Found With Chit(1),,"Candidate Debarred(1), D Mapping(4), PC Changed(13), Power Related(6), Venue Closed/Other Exam Running(3), Venue Payment Related Issue(1)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2078,NR2-HR-4099,GINFOCOM WEB WORLD,"1ST FLOOR, MAIN JHARSA ROAD, ABOVE DCB BANK, SECTOR 15 PART 1,",122001.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2079,NR2-HR-4100,GURUGRAM INSTITUTE TECHNO WORLD,"5A IDC, 2ND FLOOR, M.G. ROAD, OPPOSITE SECTOR 14",122001.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2080,NR2-HR-4102,PGM ONLINE SOLUTIONS,"PLOT NUMBER 818, P, OLD RAILWAY RD, URBAN ESTATE, SECTOR 4,",122001.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
2081,NR2-HR-4103,SIRIUSSTARS INDIA PVT. LTD,"702, SECTOR-39, NEAR KABUL HOTEL, NEXT TO GURUDWARA",122003.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2082,NR2-HR-4490,MAJOR BIHARI LAL MEMORIAL COLLEGE OF EDUCATION,"NH-48, BILASPUR",122413.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
2083,NR2-HR-4491,BRIGHTER HORIZONS,"DELHI - JAIPUR EXPY, KHANDSHA, SECTOR 36",122004.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,Power Related(2),Doubtful (Reviews < 10),Average,Power Related(2)
2084,NR2-HR-4589,RMS COLLEGE,"SEC.- 74, BEHRAMPUR RD, NEAR TRIUMPH AUTO VOLKSWAGEN BEGUMPUR KHATOLA, SECTOR 72, GURUGRAM, NEAR HERO HONDA CHOWK HARYANA 122101",122101.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,PC Changed(5),,Average,PC Changed(5)
2085,NR2-HR-4654,THE EXAM CENTRE HUB,"702, SECTOR-39, NEAR KAMILIA PALACE HOTEL, NEXT TO GURUDWARA, OPPOSITE MEDANTA HOSPITAL, GURUGRAM 122003",122003.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,,Good,Good
2086,NR2-HR-4684,M.M. PUBLIC SCHOOL,"M.M. PUBLIC SCHOOL, GATE-2, SEC-4, URBAN ESTATE, GURUGRAM, HARYANA-122001",122001.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,1,,,"D Mapping(6), PC Changed(5), Power Related(1)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
2087,NR2-HR-4701,JBM ONLINE ASSESSMENT,"818-P SECTOR 4 URBAN ESTATE RAILWAY ROAD ,GURGAON-122001",122001.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
2088,NR2-HR-4758,BRIGHTER HORIZONS,"KHASRA NO. 1620, SECTOR 34, VILLAGE KHANDSA, LANDMARK - BESIDES AMP MOTORS, DELHI- JAIPUR HIGHWAY, GURUGRAM, HARYANA -122004",122004.0,NORTH TWO,DELHI NCR,GURUGRAM,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
